DATA=Galaxy 11_sm
GALAXY_SEED=596035586
+SYS_1775878066|SEED=-106268774:NAME=Wodanis
+OBJ_890449961|P=SYS_216357273:DTYPE=1:DEFNAME=Military:DEFCLASS=B:MAX_SCRAP=34:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.2509804:DMAX=0.5450981:SEED_C=-1627269746:SEED_D=-1681271502:NAME=Lightkeeper
+OBJ_328181590|P=SYS_216357273:DTYPE=1:DEFNAME=Medical:DEFCLASS=A:MAX_SCRAP=42:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.2509804:DMAX=0.5450981:SEED_C=-1345291119:SEED_D=-1674640711:NAME=Mariamman
+OBJ_178342275|P=SYS_216357273:DTYPE=1:DEFNAME=Barge:DEFCLASS=B:MAX_SCRAP=113:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.2509804:DMAX=0.5450981:SEED_C=1911212549:SEED_D=-855713810:NAME=The Nuclear Fridge
+OBJ_377304978|P=SYS_216357273:DTYPE=1:DEFNAME=Barge:DEFCLASS=B:MAX_SCRAP=144:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.2509804:DMAX=0.5450981:SEED_C=1105061952:SEED_D=-1303106560:NAME=Crazy Deal
+OBJ_1217894740|P=SYS_216357273:DTYPE=3:DEFNAME=Space station:DEFCLASS=C:MAX_SCRAP=29:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.2509804:DMAX=0.5450981:SEED_C=-686145648:SEED_D=-30386212:NAME=Savannah
+SYS_2097129394|SEED=-106006594:NAME=New Mediterranean
+OBJ_1794281693|P=SYS_2097129394:DTYPE=1:DEFNAME=Salvage:DEFCLASS=A:MAX_SCRAP=177:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.1921569:DMAX=0.5215687:SEED_C=-404744584:SEED_D=-106006594:NAME=Eurybia
+OBJ_1025693274|P=SYS_2097129394:DTYPE=1:DEFNAME=Private:DEFCLASS=B:MAX_SCRAP=21:MAX_PFUEL=8:SHP_FXD_TYPE=7:DMIN=0.1921569:DMAX=0.5215687:SEED_C=-831728330:SEED_D=-2121295572:NAME=Gafute
+OBJ_1719238562|P=SYS_2097129394:DTYPE=1:DEFNAME=Barge:DEFCLASS=B:MAX_SCRAP=146:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.1921569:DMAX=0.5215687:SEED_C=-2146181555:SEED_D=511918383:NAME=Jackboot
+OBJ_343527086|P=SYS_2097129394:DTYPE=1:DEFNAME=Barge:DEFCLASS=A:MAX_SCRAP=159:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.1921569:DMAX=0.5215687:SEED_C=1062572680:SEED_D=-57209267:NAME=Quintessential
+OBJ_1089431974|P=SYS_2097129394:DTYPE=1:DEFNAME=Salvage:DEFCLASS=A:MAX_SCRAP=147:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.1921569:DMAX=0.5215687:SEED_C=727357513:SEED_D=-594392014:NAME=Maricha
+OBJ_844057749|P=SYS_2097129394:DTYPE=1:DEFNAME=Government:DEFCLASS=B:MAX_SCRAP=27:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.1921569:DMAX=0.5215687:SEED_C=-500266487:SEED_D=-728513129:NAME=Jebediah´s Ride
+OBJ_777638180|P=SYS_2097129394:DTYPE=1:DEFNAME=Medical:DEFCLASS=C:MAX_SCRAP=22:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.1921569:DMAX=0.5215687:SEED_C=-1089688770:SEED_D=2045676810:NAME=Space Dwarf
+OBJ_1981051383|P=SYS_2097129394:DTYPE=3:DEFNAME=Space station:DEFCLASS=A:MAX_SCRAP=47:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.1921569:DMAX=0.5215687:SEED_C=1593651754:SEED_D=91940122:NAME=Gordian
+SYS_537529741|SEED=-105964854:NAME=Roffid:SG=True:SG_CHILD=True:SG_OTHER=GX_491562781:GXE_P=GXE_354833051
+OBJ_1049703317|P=SYS_537529741:DTYPE=1:DEFNAME=Military:DEFCLASS=A:MAX_SCRAP=66:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.2901961:DMAX=0.5843138:SEED_C=-1755542965:SEED_D=-105964854:NAME=Nettle
+OBJ_1377739594|P=SYS_537529741:DTYPE=1:DEFNAME=Barge:DEFCLASS=A:MAX_SCRAP=156:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.2901961:DMAX=0.5843138:SEED_C=-1128128115:SEED_D=818929976:NAME=Technomage
+OBJ_865053533|P=SYS_537529741:DTYPE=1:DEFNAME=Private:DEFCLASS=C:MAX_SCRAP=15:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.2901961:DMAX=0.5843138:SEED_C=436207287:SEED_D=-169480679:NAME=Leverage
+OBJ_317157555|P=SYS_537529741:DTYPE=1:DEFNAME=Salvage:DEFCLASS=B:MAX_SCRAP=136:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.2901961:DMAX=0.5843138:SEED_C=-207548702:SEED_D=-1759703485:NAME=Bakayarou
+OBJ_473322594|P=SYS_537529741:DTYPE=3:DEFNAME=Space station:DEFCLASS=A:MAX_SCRAP=47:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.2901961:DMAX=0.5843138:SEED_C=-1898607275:SEED_D=1164581623:NAME=Enapkebb
+OBJ_1256242021|P=SYS_537529741:DTYPE=4:DEFNAME=Trading Post:DMIN=0.2901961:DMAX=0.5843138:SEED_C=119425792:SEED_D=-114196890
