DATA=Galaxy 9_sm_f
GALAXY_SEED=-1388971791
+SYS_1134182596|SEED=-96158444:NAME=Wishram
+OBJ_851131020|P=SYS_272178203:DTYPE=3:DEFNAME=Space station:DEFCLASS=B:MAX_SCRAP=39:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1701710342:SEED_D=-314491054:NAME=Borana Oromo
+OBJ_442885578|P=SYS_272178203:DTYPE=4:DEFNAME=Trading Post:DMIN=0.5882353:DMAX=1:SEED_C=252466148:SEED_D=1305616272
+SYS_417437571|SEED=-95865424:NAME=Epsilon Eridani:SG=True:SG_OTHER=GX_1234739284:GXE_P=GXE_994452108
+OBJ_272423634|P=SYS_417437571:DTYPE=1:DEFNAME=Barge:DEFCLASS=B:MAX_SCRAP=113:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1812771774:SEED_D=-95865424:NAME=Taurus
+OBJ_242020129|P=SYS_417437571:DTYPE=1:DEFNAME=Medical:DEFCLASS=C:MAX_SCRAP=34:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=372618394:SEED_D=-1076768173:NAME=Never Respectable
+OBJ_1205509679|P=SYS_417437571:DTYPE=1:DEFNAME=Government:DEFCLASS=B:MAX_SCRAP=26:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-51621666:SEED_D=-216944507:NAME=Bottlecap
+OBJ_1312950462|P=SYS_417437571:DTYPE=1:DEFNAME=Military:DEFCLASS=B:MAX_SCRAP=42:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-968184951:SEED_D=1955971052:NAME=Eurb
+OBJ_1496643341|P=SYS_417437571:DTYPE=1:DEFNAME=Barge:DEFCLASS=B:MAX_SCRAP=146:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1341515958:SEED_D=2042802649:NAME=Lone Star
+OBJ_1822495485|P=SYS_417437571:DTYPE=1:DEFNAME=Military:DEFCLASS=A:MAX_SCRAP=55:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1037253152:SEED_D=-1544058932:NAME=Jimson
+OBJ_17788857|P=SYS_417437571:DTYPE=3:DEFNAME=Space station:DEFCLASS=B:MAX_SCRAP=38:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1754601440:SEED_D=863261472:NAME=T'shar
+OBJ_1739840512|P=SYS_417437571:DTYPE=4:DEFNAME=Trading Post:DMIN=0.5882353:DMAX=1:SEED_C=-552726949:SEED_D=1087145235
+SYS_1767084020|SEED=-95812114:NAME=Carambola
+OBJ_85986973|P=SYS_1767084020:DTYPE=1:DEFNAME=Government:DEFCLASS=A:MAX_SCRAP=42:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1528018149:SEED_D=-95812114:NAME=Purple Emperor
+OBJ_1361223572|P=SYS_1767084020:DTYPE=1:DEFNAME=Salvage:DEFCLASS=A:MAX_SCRAP=157:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1316590266:SEED_D=-347784958:NAME=Emerson
+OBJ_1366295676|P=SYS_1767084020:DTYPE=1:DEFNAME=Government:DEFCLASS=C:MAX_SCRAP=15:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-331828206:SEED_D=752068261:NAME=Qamila
+OBJ_680821113|P=SYS_1767084020:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=B:MAX_SCRAP=38:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=2042820558:SEED_D=1507451347:NAME=Keenan
+OBJ_1518987690|P=SYS_1767084020:DTYPE=4:DEFNAME=Trading Post:DMIN=0.5882353:DMAX=1:SEED_C=-485063477:SEED_D=-1224219017
+OBJ_457401781|P=SYS_1767084020:DTYPE=4:DEFNAME=Trading Post:DMIN=0.5882353:DMAX=1:SEED_C=-517919555:SEED_D=-1019087228
+SYS_1151824949|SEED=-95770784:NAME=Visagal
+OBJ_1532220363|P=SYS_1151824949:DTYPE=1:DEFNAME=Government:DEFCLASS=A:MAX_SCRAP=37:MAX_PFUEL=8:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=649005121:SEED_D=-95770784:NAME=Tlaloc
+OBJ_1413297670|P=SYS_1151824949:DTYPE=1:DEFNAME=Private:DEFCLASS=C:MAX_SCRAP=23:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1555486657:SEED_D=-1012930651:NAME=Mens et Manus
+OBJ_479333320|P=SYS_1151824949:DTYPE=1:DEFNAME=Private:DEFCLASS=A:MAX_SCRAP=34:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=288979102:SEED_D=216361611:NAME=Oceanus
+OBJ_1205867473|P=SYS_1151824949:DTYPE=1:DEFNAME=Government:DEFCLASS=C:MAX_SCRAP=24:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1226847235:SEED_D=-1142181046:NAME=Pushpinder Singh
+OBJ_221288244|P=SYS_1151824949:DTYPE=1:DEFNAME=Medical:DEFCLASS=A:MAX_SCRAP=54:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=710978313:SEED_D=1265806932:NAME=Zelinsky
+OBJ_1148908877|P=SYS_1151824949:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=D:MAX_SCRAP=10:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1555737747:SEED_D=138218700:NAME=Van Susteren
+OBJ_434033809|P=SYS_1151824949:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=B:MAX_SCRAP=33:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1813718380:SEED_D=838625671:NAME=Cantoura
+OBJ_1921604956|P=SYS_1151824949:DTYPE=4:DEFNAME=Trading Post:DMIN=0.5882353:DMAX=1:SEED_C=1657700983:SEED_D=-564837970
