DATA=Galaxy 9_sm
GALAXY_SEED=1116237068
+SYS_2064423967|SEED=-97314424:NAME=Painter
+OBJ_550429469|P=SYS_1392354721:DTYPE=1:DEFNAME=Salvage:DEFCLASS=B:MAX_SCRAP=141:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-706795238:SEED_D=74906158:NAME=Mahoe
+OBJ_972928156|P=SYS_1392354721:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=B:MAX_SCRAP=38:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1241417663:SEED_D=-1833161528:NAME=Hamiltonia
+OBJ_1187544527|P=SYS_1392354721:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=C:MAX_SCRAP=25:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1547296010:SEED_D=594633473:NAME=Arran
+OBJ_381543536|P=SYS_1392354721:DTYPE=4:DEFNAME=Trading Post:DMIN=0.5882353:DMAX=1:SEED_C=1873705723:SEED_D=19644329
+SYS_1754078972|SEED=-96975294:NAME=Behta
+OBJ_1597524829|P=SYS_1754078972:DTYPE=1:DEFNAME=Salvage:DEFCLASS=B:MAX_SCRAP=147:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1981450942:SEED_D=-96975294:NAME=Duncan's Folly
+OBJ_1504572346|P=SYS_1754078972:DTYPE=1:DEFNAME=Medical:DEFCLASS=B:MAX_SCRAP=40:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-479046909:SEED_D=1081158788:NAME=Large Blue
+OBJ_552899573|P=SYS_1754078972:DTYPE=1:DEFNAME=Barge:DEFCLASS=A:MAX_SCRAP=156:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1222612434:SEED_D=824164231:NAME=Banner
+OBJ_832872264|P=SYS_1754078972:DTYPE=1:DEFNAME=Government:DEFCLASS=A:MAX_SCRAP=32:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=992514467:SEED_D=-1705281392:NAME=Gemini
+OBJ_1124306695|P=SYS_1754078972:DTYPE=1:DEFNAME=Government:DEFCLASS=C:MAX_SCRAP=23:MAX_PFUEL=8:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-333812107:SEED_D=-1800833924:NAME=Ghoti
+OBJ_878335685|P=SYS_1754078972:DTYPE=4:DEFNAME=Trading Post:DMIN=0.5882353:DMAX=1:SEED_C=1463913404:SEED_D=-1176913429
+SYS_1921591732|SEED=-96937384:NAME=Romar
+OBJ_157763843|P=SYS_1921591732:DTYPE=1:DEFNAME=Medical:DEFCLASS=B:MAX_SCRAP=34:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1765088516:SEED_D=-96937384:NAME=Frank Speculation
+OBJ_1614551657|P=SYS_1921591732:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=C:MAX_SCRAP=28:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=915688840:SEED_D=-1379743196:NAME=Iapygia
+OBJ_1193411154|P=SYS_1921591732:DTYPE=3:DEFNAME=Space station:DEFCLASS=A:MAX_SCRAP=45:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-456126918:SEED_D=-1555427603:NAME=Chupadero
+OBJ_27667419|P=SYS_1921591732:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=B:MAX_SCRAP=33:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=62114426:SEED_D=-1713765697:NAME=Cherish
+OBJ_807800723|P=SYS_1921591732:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=C:MAX_SCRAP=29:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1727300596:SEED_D=-1191286162:NAME=Tourmaline
+OBJ_231141477|P=SYS_1921591732:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=C:MAX_SCRAP=30:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1610572984:SEED_D=-1747127922:NAME=Schroeder
