DATA=Galaxy14_sm
GALAXY_SEED=-1015500208
VISITED_STAR_SYSTEMS=1,4,3
+SYS_1728201541|SEED=-95031664:NAME=Argonath:ID=5
+OBJ_1376493391|P=SYS_782597017:DTYPE=1:DEFNAME=Government:DEFCLASS=A:MAX_SCRAP=33:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-115866814:SEED_D=-523021081:NAME=Sussex Emerald:ID=24:ITYPE=Brute,PatrolBot
+SYS_2124924286|SEED=-94805764:NAME=Hyder:ID=4:FIRST_SHIP_ID=9:LAST_SELECTED_ID=OBJ_1720746596:SCNTYPE=0:LAST_DOCKED_ID=OBJ_1720746596:VISITED=True:VIEWED=True
+OBJ_1686926995|P=SYS_2124924286:DTYPE=1:DEFNAME=Private:DEFCLASS=C:MAX_SCRAP=19:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-1770540272:SEED_D=-94805764:NAME=Plinger:ID=9:ITYPE=Brute,PatrolBot:VISITED=True:SLOTS=0
+OBJ_634484939|P=SYS_2124924286:DTYPE=1:DEFNAME=Salvage:DEFCLASS=B:MAX_SCRAP=135:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=1475330119:SEED_D=-986812553:NAME=Busted Down:ID=10:ITYPE=Brute,PatrolBot:VISITED=True:SLOTS=0
+OBJ_327573419|P=SYS_2124924286:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=B:MAX_SCRAP=35:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-42608961:SEED_D=-1948719244:NAME=Berners-Lee:ID=11:ITYPE=Brute:VISITED=True:SLOTS=0
+OBJ_1295353746|P=SYS_2124924286:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=B:MAX_SCRAP=35:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=64610142:SEED_D=420215714:NAME=Dalhousie:ID=12:ITYPE=Brute,PatrolBot
+OBJ_1031433946|P=SYS_2124924286:DTYPE=3:DEFNAME=Space station:DEFCLASS=A:MAX_SCRAP=41:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=98311373:SEED_D=-1041223903:NAME=Mulago:ID=13:ITYPE=Brute,PatrolBot
+OBJ_709198759|P=SYS_2124924286:DTYPE=3:DEFNAME=Space station:DEFCLASS=A:MAX_SCRAP=49:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-2092621841:SEED_D=-963759446:NAME=Jacobs:ID=14:ITYPE=Brute,PatrolBot:VISITED=True:SLOTS=0
+OBJ_1720746596|P=SYS_2124924286:DTYPE=3:DEFNAME=Space station:DEFCLASS=D:MAX_SCRAP=15:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-1304744721:SEED_D=1096812471:NAME=Aurelian:ID=15:ITYPE=PatrolBot:VISITED=True:SLOTS=0
+OBJ_936577382|P=SYS_2124924286:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=B:MAX_SCRAP=30:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=643107870:SEED_D=6809272:NAME=Oxia Palus:ID=16:ITYPE=Brute
+SYS_1021103582|SEED=-94752394:NAME=Ninlil:SG=True:SG_CHILD=True:SG_OTHER=GX_151657794:GXE_P=GXE_311755819:SP=2:ID=6
+OBJ_1965548483|P=SYS_1021103582:DTYPE=1:DEFNAME=Barge:DEFCLASS=C:MAX_SCRAP=88:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-1861928752:SEED_D=-94752394:NAME=Wallaby
+OBJ_1840320330|P=SYS_1021103582:DTYPE=1:DEFNAME=Military:DEFCLASS=A:MAX_SCRAP=45:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=1768938703:SEED_D=1891966158:NAME=Fist of God
+OBJ_1695963678|P=SYS_1021103582:DTYPE=1:DEFNAME=Barge:DEFCLASS=A:MAX_SCRAP=141:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-725048815:SEED_D=-1779998272:NAME=Rhea
+OBJ_439410886|P=SYS_1021103582:DTYPE=1:DEFNAME=Private:DEFCLASS=A:MAX_SCRAP=32:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-1174655378:SEED_D=-715066004:NAME=Tau Emperor
+OBJ_1704297987|P=SYS_1021103582:DTYPE=1:DEFNAME=Private:DEFCLASS=C:MAX_SCRAP=24:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-253780642:SEED_D=1765435470:NAME=Convincer
+OBJ_123599129|P=SYS_1021103582:DTYPE=1:DEFNAME=Government:DEFCLASS=B:MAX_SCRAP=22:MAX_PFUEL=8:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-974382233:SEED_D=-39600178:NAME=Leeward Bound
+OBJ_1794533878|P=SYS_1021103582:DTYPE=2:DEFNAME=Research Outpost:BKIMGID=1:DMIN=0.254902:DMAX=0.5882353:SEED_C=232744808:SEED_D=1495712960:NAME=Indus
+OBJ_179622229|P=SYS_1021103582:DTYPE=4:DEFNAME=Trading Post:DMIN=0.254902:DMAX=0.5882353:SEED_C=-2117037337:SEED_D=-149674010
+SLOT_1273109926|P=OBJ_533707769:STATE=1:MCOUNT=1:BREAK_PROB=2.870584:SLOTNUM=0:SLOT_INSTKEY=INVITMS_2
+SLOT_2057914138|P=OBJ_533707769:STATE=1:MCOUNT=0:BREAK_PROB=0:SLOTNUM=1
+INVITMS_2|P=OBJ_533707769:TYPE=Quarantine:SLOT=0:INV_MISSIONS=0:INV_BREAK_PROB=0:STATE=OK:INV_MODS=0
